"InstanceType","InstanceFamily","ProcessorVCPUCount","MemorySizeInMB","ProcessorArchitecture","PricePerHour","GPUCount","GPUName","GPUMemoryInMB","ProcessorDefaultCores"
"c1.medium","Compute optimized",2,1.7,"x86_64","0.1300",0,"",0,2
"c1.xlarge","Compute optimized",8,7,"x86_64","0.5200",0,"",0,8
"c3.large","Compute optimized",2,3.75,"x86_64","0.1050",0,"",0,1
"c3.xlarge","Compute optimized",4,7.5,"x86_64","0.2100",0,"",0,2
"c3.2xlarge","Compute optimized",8,15,"x86_64","0.4200",0,"",0,4
"c3.4xlarge","Compute optimized",16,30,"x86_64","0.8400",0,"",0,8
"c3.8xlarge","Compute optimized",32,60,"x86_64","1.6800",0,"",0,16
"c4.large","Compute optimized",2,3.75,"x86_64","0.1000",0,"",0,1
"c4.xlarge","Compute optimized",4,7.5,"x86_64","0.1990",0,"",0,2
"c4.2xlarge","Compute optimized",8,15,"x86_64","0.3980",0,"",0,4
"c4.4xlarge","Compute optimized",16,30,"x86_64","0.7960",0,"",0,8
"c4.8xlarge","Compute optimized",36,60,"x86_64","1.5910",0,"",0,18
"c5.large","Compute optimized",2,4,"x86_64","0.0850",0,"",0,1
"c5.xlarge","Compute optimized",4,8,"x86_64","0.1700",0,"",0,2
"c5.2xlarge","Compute optimized",8,16,"x86_64","0.3400",0,"",0,4
"c5.4xlarge","Compute optimized",16,32,"x86_64","0.6800",0,"",0,8
"c5.9xlarge","Compute optimized",36,72,"x86_64","1.5300",0,"",0,18
"c5.12xlarge","Compute optimized",48,96,"x86_64","2.0400",0,"",0,24
"c5.18xlarge","Compute optimized",72,144,"x86_64","3.0600",0,"",0,36
"c5.24xlarge","Compute optimized",96,192,"x86_64","4.0800",0,"",0,48
"c5.metal","Compute optimized",96,192,"x86_64","4.0800",0,"",0,48
"c5a.large","Compute optimized",2,4,"x86_64","0.0770",0,"",0,1
"c5a.xlarge","Compute optimized",4,8,"x86_64","0.1540",0,"",0,2
"c5a.2xlarge","Compute optimized",8,16,"x86_64","0.3080",0,"",0,4
"c5a.4xlarge","Compute optimized",16,32,"x86_64","0.6160",0,"",0,8
"c5a.8xlarge","Compute optimized",32,64,"x86_64","1.2320",0,"",0,16
"c5a.12xlarge","Compute optimized",48,96,"x86_64","1.8480",0,"",0,24
"c5a.16xlarge","Compute optimized",64,128,"x86_64","2.4640",0,"",0,32
"c5a.24xlarge","Compute optimized",96,192,"x86_64","3.6960",0,"",0,48
"c5ad.large","Compute optimized",2,4,"x86_64","0.0860",0,"",0,1
"c5ad.xlarge","Compute optimized",4,8,"x86_64","0.1720",0,"",0,2
"c5ad.2xlarge","Compute optimized",8,16,"x86_64","0.3440",0,"",0,4
"c5ad.4xlarge","Compute optimized",16,32,"x86_64","0.6880",0,"",0,8
"c5ad.8xlarge","Compute optimized",32,64,"x86_64","1.3760",0,"",0,16
"c5ad.12xlarge","Compute optimized",48,96,"x86_64","2.0640",0,"",0,24
"c5ad.16xlarge","Compute optimized",64,128,"x86_64","2.7520",0,"",0,32
"c5ad.24xlarge","Compute optimized",96,192,"x86_64","4.1280",0,"",0,48
"c5d.large","Compute optimized",2,4,"x86_64","0.0960",0,"",0,1
"c5d.xlarge","Compute optimized",4,8,"x86_64","0.1920",0,"",0,2
"c5d.2xlarge","Compute optimized",8,16,"x86_64","0.3840",0,"",0,4
"c5d.4xlarge","Compute optimized",16,32,"x86_64","0.7680",0,"",0,8
"c5d.9xlarge","Compute optimized",36,72,"x86_64","1.7280",0,"",0,18
"c5d.12xlarge","Compute optimized",48,96,"x86_64","2.3040",0,"",0,24
"c5d.18xlarge","Compute optimized",72,144,"x86_64","3.4560",0,"",0,36
"c5d.24xlarge","Compute optimized",96,192,"x86_64","4.6080",0,"",0,48
"c5d.metal","Compute optimized",96,192,"x86_64","4.6080",0,"",0,48
"c5n.large","Compute optimized",2,5.25,"x86_64","0.1080",0,"",0,1
"c5n.xlarge","Compute optimized",4,10.5,"x86_64","0.2160",0,"",0,2
"c5n.2xlarge","Compute optimized",8,21,"x86_64","0.4320",0,"",0,4
"c5n.4xlarge","Compute optimized",16,42,"x86_64","0.8640",0,"",0,8
"c5n.9xlarge","Compute optimized",36,96,"x86_64","1.9440",0,"",0,18
"c5n.18xlarge","Compute optimized",72,192,"x86_64","3.8880",0,"",0,36
"c5n.metal","Compute optimized",72,192,"x86_64","3.8880",0,"",0,36
"c6a.large","Compute optimized",2,4,"x86_64","0.0765",0,"",0,1
"c6a.xlarge","Compute optimized",4,8,"x86_64","0.1530",0,"",0,2
"c6a.2xlarge","Compute optimized",8,16,"x86_64","0.3060",0,"",0,4
"c6a.4xlarge","Compute optimized",16,32,"x86_64","0.6120",0,"",0,8
"c6a.8xlarge","Compute optimized",32,64,"x86_64","1.2240",0,"",0,16
"c6a.12xlarge","Compute optimized",48,96,"x86_64","1.8360",0,"",0,24
"c6a.16xlarge","Compute optimized",64,128,"x86_64","2.4480",0,"",0,32
"c6a.24xlarge","Compute optimized",96,192,"x86_64","3.6720",0,"",0,48
"c6a.32xlarge","Compute optimized",128,256,"x86_64","4.8960",0,"",0,64
"c6a.48xlarge","Compute optimized",192,384,"x86_64","7.3440",0,"",0,96
"c6a.metal","Compute optimized",192,384,"x86_64","7.3440",0,"",0,96
"c6i.large","Compute optimized",2,4,"x86_64","0.0850",0,"",0,1
"c6i.xlarge","Compute optimized",4,8,"x86_64","0.1700",0,"",0,2
"c6i.2xlarge","Compute optimized",8,16,"x86_64","0.3400",0,"",0,4
"c6i.4xlarge","Compute optimized",16,32,"x86_64","0.6800",0,"",0,8
"c6i.8xlarge","Compute optimized",32,64,"x86_64","1.3600",0,"",0,16
"c6i.12xlarge","Compute optimized",48,96,"x86_64","2.0400",0,"",0,24
"c6i.16xlarge","Compute optimized",64,128,"x86_64","2.7200",0,"",0,32
"c6i.24xlarge","Compute optimized",96,192,"x86_64","4.0800",0,"",0,48
"c6i.32xlarge","Compute optimized",128,256,"x86_64","5.4400",0,"",0,64
"c6i.metal","Compute optimized",128,256,"x86_64","5.4400",0,"",0,64
"c6id.large","Compute optimized",2,4,"x86_64","0.1008",0,"",0,1
"c6id.xlarge","Compute optimized",4,8,"x86_64","0.2016",0,"",0,2
"c6id.2xlarge","Compute optimized",8,16,"x86_64","0.4032",0,"",0,4
"c6id.4xlarge","Compute optimized",16,32,"x86_64","0.8064",0,"",0,8
"c6id.8xlarge","Compute optimized",32,64,"x86_64","1.6128",0,"",0,16
"c6id.12xlarge","Compute optimized",48,96,"x86_64","2.4192",0,"",0,24
"c6id.16xlarge","Compute optimized",64,128,"x86_64","3.2256",0,"",0,32
"c6id.24xlarge","Compute optimized",96,192,"x86_64","4.8384",0,"",0,48
"c6id.32xlarge","Compute optimized",128,256,"x86_64","6.4512",0,"",0,64
"c6id.metal","Compute optimized",128,256,"x86_64","6.4512",0,"",0,64
"c6in.large","Compute optimized",2,4,"x86_64","0.1134",0,"",0,1
"c6in.xlarge","Compute optimized",4,8,"x86_64","0.2268",0,"",0,2
"c6in.2xlarge","Compute optimized",8,16,"x86_64","0.4536",0,"",0,4
"c6in.4xlarge","Compute optimized",16,32,"x86_64","0.9072",0,"",0,8
"c6in.8xlarge","Compute optimized",32,64,"x86_64","1.8144",0,"",0,16
"c6in.12xlarge","Compute optimized",48,96,"x86_64","2.7216",0,"",0,24
"c6in.16xlarge","Compute optimized",64,128,"x86_64","3.6288",0,"",0,32
"c6in.24xlarge","Compute optimized",96,192,"x86_64","5.4432",0,"",0,48
"c6in.32xlarge","Compute optimized",128,256,"x86_64","7.2576",0,"",0,64
"c6in.metal","Compute optimized",128,256,"x86_64","7.2576",0,"",0,64
